rel way node lat lon
relation 24541159 1125067067 51.5027027 -0.0717803
relation 24541159 266840425 51.5024428 -0.0720842
relation 24541159 266840437 51.5025352 -0.0722838
relation 24541159 1086082625 51.5025466 -0.0723115
relation 24541159 1086082307 51.5028109 -0.0720025
relation 24541159 1086082535 51.5028335 -0.0720523
relation 24541159 266840419 51.5029313 -0.0719380
-- http://www.openstreetmap.org/way/24553580 Tate Britain
relation 24553580 266974928 51.4909661 -0.1289126
relation 24553580 1278796243 51.4912147 -0.1287048
relation 24553580 1278796131 51.4912342 -0.1287649
relation 24553580 1278796087 51.4914220 -0.1286080
relation 24553580 1278796064 51.4914025 -0.1285478
relation 24553580 266974929 51.4916443 -0.1283458
relation 24553580 266974930 51.4913012 -0.1272836
relation 24553580 266974931 51.4917489 -0.1269158
relation 24553580 266974932 51.4915619 -0.1263284
relation 24553580 266974933 51.4913463 -0.1265055
relation 24553580 266974934 51.4914452 -0.1268162
relation 24553580 266974935 51.4912293 -0.1269936
relation 24553580 266974936 51.4911744 -0.1268213
relation 24553580 266974937 51.4910061 -0.1269597
relation 24553580 1278796175 51.4909285 -0.1270234
relation 24553580 266974938 51.4908635 -0.1268267
relation 24553580 1334631052 51.4907827 -0.1268947
relation 24553580 1334631138 51.4906964 -0.1269673
relation 24553580 1278796109 51.4906595 -0.1270073
relation 24553580 1334630889 51.4906468 -0.1270248
relation 24553580 1334630942 51.4906440 -0.1270481
relation 24553580 1334631172 51.4906504 -0.1270830
relation 24553580 1334631021 51.4906640 -0.1270918
relation 24553580 1334631255 51.4906821 -0.1270874
relation 24553580 266974940 51.4907066 -0.1271864
relation 24553580 266974941 51.4904731 -0.1273648
relation 24553580 1334631308 51.4905234 -0.1275623
relation 24553580 1334630995 51.4905370 -0.1275550
relation 24553580 670126092 51.4907254 -0.1281569
relation 24553580 266974928 51.4909661 -0.1289126
-- http://www.openstreetmap.org/way/24642569 Tate Modern
relation 24642569 281135653 51.5075594 -0.1005582
relation 24642569 1373665464 51.5076924 -0.1005449
relation 24642569 1373665456 51.5079077 -0.1005169
relation 24642569 20626320 51.5079806 -0.1005076
relation 24642569 1334645227 51.5079191 -0.0994090
relation 24642569 1334645268 51.5079489 -0.0994047
relation 24642569 1835528916 51.5079442 -0.0993236
relation 24642569 1334645265 51.5079389 -0.0992422
relation 24642569 1334645257 51.5079088 -0.0992460
relation 24642569 267871957 51.5078601 -0.0981440
relation 24642569 1240169407 51.5077974 -0.0981540
relation 24642569 1373665459 51.5073514 -0.0982249
relation 24642569 914436344 51.5073189 -0.0982269
relation 24642569 914430014 51.5073121 -0.0980707
relation 24642569 914336304 51.5070103 -0.0981095
relation 24642569 1334645193 51.5070214 -0.0983001
relation 24642569 1334645231 51.5071813 -0.0982852
relation 24642569 1373665458 51.5072079 -0.0987130
relation 24642569 1373665454 51.5072879 -0.1001356
relation 24642569 20626323 51.5073063 -0.1005184
relation 24642569 1334645196 51.5074540 -0.1005061
relation 24642569 1334645250 51.5074569 -0.1005668
relation 24642569 281135653 51.5075594 -0.1005582
-- http://www.openstreetmap.org/way/25911545 Gunnersbury Park Museum
relation 25911545 282662760 51.4993277 -0.2866866
relation 25911545 282664215 51.4994715 -0.2868267
relation 25911545 282662762 51.4997554 -0.2860752
relation 25911545 282664216 51.4996117 -0.2859351
relation 25911545 282662760 51.4993277 -0.2866866
-- http://www.openstreetmap.org/way/27765411 Science Museum
relation 27765411 32052016 51.4968853 -0.1782258
relation 27765411 304884794 51.4972814 -0.1782963
relation 27765411 304884795 51.4973425 -0.1774108
relation 27765411 304884793 51.4971997 -0.1773854
relation 27765411 1141096745 51.4972151 -0.1771629
relation 27765411 1141096779 51.4972897 -0.1760832
relation 27765411 1141096812 51.4973517 -0.1751845
relation 27765411 1141096696 51.4974205 -0.1751968
relation 27765411 304884796 51.4974279 -0.1750895
relation 27765411 304884797 51.4976463 -0.1751284
relation 27765411 1141096729 51.4976573 -0.1749691
relation 27765411 1141096772 51.4978934 -0.1750150
relation 27765411 1141096806 51.4979070 -0.1748900
relation 27765411 1141096720 51.4976595 -0.1748459
relation 27765411 304884798 51.4977055 -0.1741791
relation 27765411 32052017 51.4971712 -0.1740839
relation 27765411 1347057739 51.4971416 -0.1745087
relation 27765411 1347057733 51.4971315 -0.1746341
relation 27765411 32052016 51.4968853 -0.1782258
-- http://www.openstreetmap.org/way/28269975 Foundling Museum
relation 28269975 310453805 51.5251689 -0.1215197
relation 28269975 1455586033 51.5251349 -0.1216535
relation 28269975 310453806 51.5251004 -0.1217894
relation 28269975 1455586036 51.5251487 -0.1218211
relation 28269975 310453807 51.5252216 -0.1218689
relation 28269975 310453808 51.5252901 -0.1215991
relation 28269975 310453805 51.5251689 -0.1215197
-- http://www.openstreetmap.org/way/30839266 Wandsworth Museum and De Morgan Centre
relation 30839266 342980321 51.4569423 -0.2006496
relation 30839266 342980337 51.4569476 -0.2006108
relation 30839266 342980340 51.4569130 -0.2006017
relation 30839266 342980342 51.4569221 -0.2005120
relation 30839266 342980338 51.4569577 -0.2005214
relation 30839266 342980325 51.4569594 -0.2004809
relation 30839266 342980331 51.4570094 -0.2004944
relation 30839266 342980344 51.4570208 -0.2003877
relation 30839266 342980345 51.4569167 -0.2003604
relation 30839266 342980348 51.4569295 -0.2002347
relation 30839266 342980350 51.4569899 -0.2002540
relation 30839266 342980354 51.4570032 -0.2001242
relation 30839266 342980356 51.4571065 -0.2001513
relation 30839266 342980351 51.4570934 -0.2002799
relation 30839266 342980334 51.4571813 -0.2003008
relation 30839266 342980332 51.4571572 -0.2005375
relation 30839266 342980327 51.4573008 -0.2005732
relation 30839266 342980323 51.4572930 -0.2007511
relation 30839266 342980321 51.4569423 -0.2006496
-- http://www.openstreetmap.org/way/39590918 Grahame White Aircraft Factory
relation 39590918 1676675817 51.5961200 -0.2375460
relation 39590918 1676675818 51.5961398 -0.2383794
relation 39590918 1676675819 51.5964136 -0.2383650
relation 39590918 474581678 51.5963938 -0.2375292
relation 39590918 1676675817 51.5961200 -0.2375460
-- http://www.openstreetmap.org/way/40405915 British Museum
relation 40405915 495535738 51.5201997 -0.1274098
relation 40405915 21613351 51.5200289 -0.1272093
relation 40405915 21610564 51.5201710 -0.1268969
relation 40405915 1391435427 51.5201172 -0.1268337
relation 40405915 1391435463 51.5201556 -0.1267492
relation 40405915 1391435473 51.5200568 -0.1266331
relation 40405915 1391435425 51.5200409 -0.1266680
relation 40405915 1391435487 51.5198138 -0.1264012
relation 40405915 1391435444 51.5198321 -0.1263608
relation 40405915 1391435467 51.5196668 -0.1261667
relation 40405915 1391435424 51.5196522 -0.1261987
relation 40405915 21610566 51.5193679 -0.1258648
relation 40405915 1391435445 51.5194691 -0.1256423
relation 40405915 1391435438 51.5194999 -0.1256786
relation 40405915 21610568 51.5196131 -0.1254298
relation 40405915 21610569 51.5193300 -0.1250974
relation 40405915 2834774097 51.5191883 -0.1254090
relation 40405915 2834774096 51.5191108 -0.1253179
relation 40405915 488634409 51.5190551 -0.1254404
relation 40405915 488634411 51.5190062 -0.1253830
relation 40405915 488634413 51.5188484 -0.1257299
relation 40405915 488630197 51.5190186 -0.1259298
relation 40405915 1391435426 51.5189728 -0.1260304
relation 40405915 1391435428 51.5189400 -0.1259918
relation 40405915 634568087 51.5188388 -0.1262142
relation 40405915 1391435470 51.5187458 -0.1264187
relation 40405915 1391435478 51.5187824 -0.1264617
relation 40405915 488630199 51.5187182 -0.1266028
relation 40405915 488630178 51.5185600 -0.1264170
relation 40405915 488630180 51.5184005 -0.1267679
relation 40405915 488630182 51.5184558 -0.1268329
relation 40405915 21610571 51.5182513 -0.1272823
relation 40405915 1391441474 51.5185318 -0.1276118
relation 40405915 1391441454 51.5185753 -0.1275162
relation 40405915 1391441503 51.5185403 -0.1274750
relation 40405915 1391441471 51.5185585 -0.1274348
relation 40405915 1391441488 51.5186183 -0.1275050
relation 40405915 1391441504 51.5186560 -0.1274222
relation 40405915 1391441449 51.5186792 -0.1274494
relation 40405915 1391441452 51.5185432 -0.1277484
relation 40405915 1391441502 51.5186011 -0.1278164
relation 40405915 1391441485 51.5185633 -0.1278996
relation 40405915 1391441478 51.5186725 -0.1280279
relation 40405915 1391441501 51.5187041 -0.1279584
relation 40405915 1391441457 51.5190526 -0.1283678
relation 40405915 1391441481 51.5190268 -0.1284246
relation 40405915 21610574 51.5191376 -0.1285548
relation 40405915 21610577 51.5192837 -0.1282335
relation 40405915 21610580 51.5194701 -0.1284525
relation 40405915 21612403 51.5198217 -0.1276795
relation 40405915 21612421 51.5199986 -0.1278873
relation 40405915 1391435465 51.5198186 -0.1282831
relation 40405915 1391435442 51.5198041 -0.1282661
relation 40405915 21613346 51.5196813 -0.1285361
relation 40405915 1391435468 51.5197796 -0.1286515
relation 40405915 1391435496 51.5197517 -0.1287128
relation 40405915 1391435436 51.5197416 -0.1287010
relation 40405915 1391435430 51.5197172 -0.1287548
relation 40405915 1391435459 51.5196492 -0.1286750
relation 40405915 1391435461 51.5196743 -0.1286199
relation 40405915 1391435455 51.5196082 -0.1285422
relation 40405915 1391435457 51.5198404 -0.1280318
relation 40405915 1391435475 51.5197807 -0.1279618
relation 40405915 1391435420 51.5197593 -0.1280089
relation 40405915 1391435429 51.5197449 -0.1279919
relation 40405915 1391435492 51.5194827 -0.1285686
relation 40405915 1391435489 51.5195923 -0.1286973
relation 40405915 1391435411 51.5195719 -0.1287421
relation 40405915 1391435469 51.5195924 -0.1287661
relation 40405915 1391435447 51.5195841 -0.1287844
relation 40405915 1391435471 51.5197179 -0.1289416
relation 40405915 1391435472 51.5197967 -0.1287684
relation 40405915 1391435485 51.5198590 -0.1288416
relation 40405915 1391435440 51.5199528 -0.1286352
relation 40405915 21613347 51.5198865 -0.1285573
relation 40405915 634568083 51.5202031 -0.1278612
relation 40405915 495487715 51.5206122 -0.1269618
relation 40405915 495487716 51.5205323 -0.1268679
relation 40405915 495487717 51.5204654 -0.1270150
relation 40405915 21613349 51.5204093 -0.1269490
relation 40405915 495535738 51.5201997 -0.1274098
-- http://www.openstreetmap.org/way/42003475 Bruce Castle Museum
relation 42003475 520925843 51.5991905 -0.0755451
relation 42003475 520925876 51.5990124 -0.0755075
relation 42003475 520925879 51.5990533 -0.0750057
relation 42003475 520925881 51.5992314 -0.0750433
relation 42003475 520925843 51.5991905 -0.0755451
-- http://www.openstreetmap.org/way/43634102 Transport Museum Depot
relation 43634102 551680435 51.5051818 -0.2815464
relation 43634102 1721796421 51.5049774 -0.2818350
relation 43634102 1721796410 51.5049442 -0.2818819
relation 43634102 1721796392 51.5049116 -0.2819279
relation 43634102 1721796382 51.5048783 -0.2819750
relation 43634102 1721796358 51.5048424 -0.2820256
relation 43634102 1721796342 51.5048109 -0.2820702
relation 43634102 551680448 51.5047893 -0.2821007
relation 43634102 551680458 51.5044623 -0.2815032
relation 43634102 551680466 51.5043164 -0.2817092
relation 43634102 551680472 51.5040342 -0.2811935
relation 43634102 551680474 51.5044388 -0.2806222
relation 43634102 1256988811 51.5044701 -0.2806794
relation 43634102 551680478 51.5045129 -0.2806188
relation 43634102 551680482 51.5046074 -0.2806302
relation 43634102 551680486 51.5047158 -0.2808284
relation 43634102 551680491 51.5047571 -0.2807702
relation 43634102 551680435 51.5051818 -0.2815464
-- http://www.openstreetmap.org/way/43706245 Dr. Johnson's House
relation 43706245 747591277 51.5148751 -0.1081980
relation 43706245 553073410 51.5148777 -0.1081274
relation 43706245 747591279 51.5149440 -0.1081338
relation 43706245 758770221 51.5149417 -0.1082010
relation 43706245 747591277 51.5148751 -0.1081980
-- http://www.openstreetmap.org/way/43917586 Dartford Borough Museum and Library
relation 43917586 390986734 51.4430477 0.2187167
relation 43917586 390986729 51.4433110 0.2188356
relation 43917586 558550338 51.4433280 0.2188431
relation 43917586 558550340 51.4432442 0.2193285
relation 43917586 390986732 51.4431682 0.2192947
relation 43917586 390986731 51.4429626 0.2192019
relation 43917586 390986734 51.4430477 0.2187167
-- http://www.openstreetmap.org/way/55458978 Museum No. 1
relation 55458978 697016835 51.4794885 -0.2900468
relation 55458978 697016836 51.4797831 -0.2902061
relation 55458978 697016838 51.4798126 -0.2900653
relation 55458978 697016841 51.4797046 -0.2900069
relation 55458978 697016842 51.4797445 -0.2898169
relation 55458978 697016843 51.4796653 -0.2897741
relation 55458978 697016845 51.4796262 -0.2899607
relation 55458978 697016847 51.4795187 -0.2899027
relation 55458978 697016835 51.4794885 -0.2900468
-- http://www.openstreetmap.org/way/61453261 Sir John Soane's Museum
relation 61453261 767083767 51.5170792 -0.1173375
relation 61453261 767083761 51.5170645 -0.1173282
relation 61453261 767083759 51.5169952 -0.1172843
relation 61453261 767083757 51.5169431 -0.1175179
relation 61453261 767083758 51.5170223 -0.1175697
relation 61453261 767083767 51.5170792 -0.1173375
-- http://www.openstreetmap.org/way/65272940 Keats House
relation 65272940 797982657 51.5555714 -0.1678141
relation 65272940 797982316 51.5554721 -0.1678141
relation 65272940 1426991023 51.5554721 -0.1678887
relation 65272940 1426991452 51.5554596 -0.1678887
relation 65272940 797982216 51.5554596 -0.1680570
relation 65272940 797982486 51.5555714 -0.1680570
relation 65272940 797982657 51.5555714 -0.1678141
-- http://www.openstreetmap.org/way/77250946 Burgh House and Hampstead Museum
relation 77250946 909388097 51.5582066 -0.1752318
relation 77250946 909388098 51.5581047 -0.1750954
relation 77250946 909388101 51.5581900 -0.1749398
relation 77250946 909388124 51.5582192 -0.1749919
relation 77250946 909388127 51.5582464 -0.1749929
relation 77250946 909388103 51.5582962 -0.1750596
relation 77250946 909388097 51.5582066 -0.1752318
-- http://www.openstreetmap.org/way/80278329 The Cuming Museum
relation 80278329 936982814 51.4911977 -0.0965424
relation 80278329 936982852 51.4910110 -0.0964186
relation 80278329 936982553 51.4909594 -0.0966196
relation 80278329 936982497 51.4910415 -0.0966741
relation 80278329 936982583 51.4910146 -0.0967788
relation 80278329 936982682 51.4909327 -0.0967245
relation 80278329 936982473 51.4908478 -0.0970545
relation 80278329 936982532 51.4910343 -0.0971781
relation 80278329 936982814 51.4911977 -0.0965424
-- http://www.openstreetmap.org/way/82459230 Kirkaldy Testing Museum
relation 82459230 959764793 51.5060396 -0.1016886
relation 82459230 959765366 51.5059558 -0.1013993
relation 82459230 959765289 51.5058861 -0.1014567
relation 82459230 959764787 51.5059380 -0.1017681
relation 82459230 959764793 51.5060396 -0.1016886
-- http://www.openstreetmap.org/way/82770797 The Clink
relation 82770797 963510133 51.5070476 -0.0920988
relation 82770797 963509334 51.5070214 -0.0917119
relation 82770797 1261877044 51.5069953 -0.0916508
relation 82770797 963509692 51.5069718 -0.0916398
relation 82770797 1261876978 51.5069310 -0.0916921
relation 82770797 963509630 51.5069223 -0.0917563
relation 82770797 963509879 51.5068814 -0.0921111
relation 82770797 963510133 51.5070476 -0.0920988
-- http://www.openstreetmap.org/way/82785023 Pump House Museum
relation 82785023 963575665 51.5766527 -0.0353722
relation 82785023 963575639 51.5770603 -0.0347451
relation 82785023 963575679 51.5766467 -0.0342089
relation 82785023 963575661 51.5762992 -0.0346465
relation 82785023 963575665 51.5766527 -0.0353722
-- http://www.openstreetmap.org/way/90404358 Old Operating Theatre Museum
relation 90404358 1048822042 51.5049506 -0.0884166
relation 90404358 1048822490 51.5049985 -0.0885819
relation 90404358 1048821728 51.5049641 -0.0886077
relation 90404358 1048823093 51.5049918 -0.0887035
relation 90404358 1048822196 51.5050542 -0.0886568
relation 90404358 1048821863 51.5050515 -0.0886492
